date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:54	460400/460400	---MCZ	200	added ('OK')	text/html	etag:W/%22f087f64e0a7551d95dcd9a89f71fe5b2%22	https://kaibhamann.wixsite.com/kai-hamann	C:/My%20Web%20Sites/wixtest/kaibhamann.wixsite.com/kai-hamann.html	(from )
12:07:54	322/322	---M--	200	added ('OK')	text/plain	date:Wed,%2031%20Aug%202022%2018:08:05%20GMT	https://kaibhamann.wixsite.com/robots.txt		(from )
12:07:55	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/wixtest/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:55	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/wixtest/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:55	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2018%20Aug%202022%2002:58:10%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/wixtest/polyfill.io/v3/polyfill.mind82c.js	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:56	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/wixtest/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:56	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Aug%202022%2018:08:07%20GMT	https://kaibhamann.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/wixtest/kaibhamann.wixsite.com/decodeURIComponent(e	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:56	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Aug%202022%2018:08:07%20GMT	https://kaibhamann.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/wixtest/kaibhamann.wixsite.com/sitemap.xml	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:56	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Aug%202022%2018:08:07%20GMT	https://kaibhamann.wixsite.com/feed.xml	C:/My%20Web%20Sites/wixtest/kaibhamann.wixsite.com/feed.xml	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:57	87607/87607	---MCZ	200	added ('OK')	application/javascript	etag:W/%2296981c9cb7805207cc999652def8bbac%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.28da9f19.bundle.min.js	C:/My%20Web%20Sites/wixtest/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.28da9f19.bundle.min.js	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:57	173683/173683	---M-Z	200	added ('OK')	application/javascript	etag:W/%22027099c5f6a96716e036ea2ca73fe137%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.e370a1c6.bundle.min.js	C:/My%20Web%20Sites/wixtest/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.e370a1c6.bundle.min.js	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:57	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/wixtest/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:58	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/My%20Web%20Sites/wixtest/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://kaibhamann.wixsite.com/kai-hamann)
12:07:58	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/wixtest/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://kaibhamann.wixsite.com/kai-hamann)
